Driver,LVDS,5/0,-,-,-,3 V ~ 3.6 V,-10°C ~ 70°C,Surface Mount,56-TFSOP (0.240"   6.10mm Width),56-TSSOP
Driver,LVDS,4/0,-,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Transceiver,RS422   RS485,1/1,Half,60mV,250kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS232,4/5,Full,500mV,230kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,4/5,Full,500mV,480Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS232,2/2,Full,500mV,240kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,500mV,240kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,18-SOIC (0.295"   7.50mm Width),18-SOIC
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,5/3,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
Transceiver,RS422   RS485,1/1,Half,20mV,10Mbps,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,20mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,20mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,10Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,5Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS232,2/2,Full,500mV,220Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,2/2,Full,500mV,220Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,2/2,Full,500mV,220Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SO
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SOIC
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,300mV,235Kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,5/3,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-TSSOP (0.173"   4.40mm Width),28-TSSOP
Transceiver,RS422   RS485,1/1,Half,20mV,10Mbps,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,20mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,20mV,10Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,10Mbps,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Full,70mV,5Mbps,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver,RS232,2/2,Full,500mV,220Kbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,2/2,Full,500mV,220Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,2/2,Full,500mV,220Kbps,4.5 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-SOIC (0.295"   7.50mm Width),16-SO
Transceiver,RS232,2/2,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Transceiver,RS232,2/2,Full,300mV,400kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,300mV,400kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,RS232,2/2,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver,RS232,3/5,Full,300mV,250kbps,3 V ~ 5.5 V,0°C ~ 70°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,RS422   RS485,1/1,Half,120mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,RS422   RS485,1/1,Half,120mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Transceiver,RS232,3/5,Full,500mV,250kbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,28-SSOP (0.209"   5.30mm Width),28-SSOP
Transceiver,Meter Bus,1/1,Half,-,-,3.3V,0°C ~ 70°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Driver,RS232   RS423,2/0,-,-,-,10.8 V ~ 13.2 V,0°C ~ 70°C,Through Hole,8-DIP (0.300"   7.62mm),8-PDIP
Receiver,RS422   RS423,0/2,-,70mV,-,4.75 V ~ 5.25 V,0°C ~ 70°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,Ethernet,1/1,Full,25mV,-,3.3V,-40°C ~ 85°C,-,-,-
Transceiver,Ethernet,1/1,Full,-,-,3.3V,0°C ~ 70°C,-,-,-
Transceiver,Ethernet,1/1,Full,-,-,3.3V,-40°C ~ 85°C,-,-,-
Transceiver,IEEE 1588,-,-,-,-,3 V ~ 3.6 V,-,Surface Mount,48-LQFP,48-LQFP (7x7)
Transceiver,Ethernet,1/1,-,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,48-LQFP,48-LQFP (7x7)
Transceiver,Ethernet,1/1,-,-,-,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,48-LQFP,48-LQFP (7x7)
Transceiver,Ethernet,8/8,-,-,-,1.71 V ~ 3.465 V,0°C ~ 70°C,Surface Mount,128-BFQFP,128-PQFP (14x20)
Transceiver,Ethernet,3/2,Full,-,100Mbps,2.5V,0°C ~ 70°C,Surface Mount,100-BQFP,100-MQFP (14x20)
Transceiver,MII   RMII,1/1,Full,-,-,2.375 V ~ 2.625 V,-40°C ~ 85°C,Surface Mount,48-LQFP,48-LQFP (7x7)
Transceiver,MII   RMII   SMII,-,Full,-,-,1.8V   3.3V,-40°C ~ 85°C,Surface Mount,48-LQFP,48-LQFP (7x7)
Transceiver,Ethernet,4/4,Full,-,-,1.8V   2.5V   3.3V,0°C ~ 70°C,Surface Mount,48-VFQFN Exposed Pad,48-QFN (7x7)
Transceiver,MII   RMII,4/4,Full,-,-,1.6 V ~ 3.6 V,0°C ~ 85°C,Surface Mount,32-VFQFN Exposed Pad,32-QFN (5x5)
Transceiver,MII   RMII,4/4,Full,-,-,1.6 V ~ 3.6 V,0°C ~ 85°C,Surface Mount,32-VFQFN Exposed Pad,32-QFN (5x5)
Transceiver,MII   RMII,4/4,Full,-,-,1.6 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,32-VFQFN Exposed Pad,32-QFN (5x5)
Transceiver,RMII,2/2,Full,-,-,1.6 V ~ 3.6 V,0°C ~ 85°C,Surface Mount,24-VFQFN Exposed Pad,24-QFN (4x4)
Transceiver,RMII,2/2,Full,-,-,1.6 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,24-VFQFN Exposed Pad,24-QFN (4x4)
Transceiver,Ethernet,1/1,-,-,100Mbps,1.6 V ~ 3.6 V,0°C ~ 85°C,Surface Mount,24-VFQFN Exposed Pad,24-SQFN (4x4)
Transceiver,Ethernet,1/1,Full,-,100Mbps,3.3V,-40°C ~ 85°C,Surface Mount,64-LQFP,64-LQFP (10x10)
Transceiver,CAN,1/1,Half,150mV,-,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,1/1,Half,150mV,-,4.5 V ~ 5.5 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Transceiver,CAN,2/2,Half,70mV,-,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver,CAN,1/1,Half,70mV,-,4.75 V ~ 5.25 V,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Driver,LVDS,1/0,-,-,622Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Driver,-,1/0,-,-,400Mbps,4.5 V ~ 5.5 V,-,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Driver,FPD-Link   LVDS,8/0,-,-,4.76Gbps,3 V ~ 3.6 V,-10°C ~ 70°C,Surface Mount,100-TQFP,100-TQFP (14x14)
Receiver,LVDS,0/2,-,-,155.5Mbps,4.5 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Receiver,LVDS,0/1,-,-,400Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Driver,LVDS,1/0,-,-,400Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
Receiver,LVDS,0/1,-,-,400Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Transceiver,LVDS,1/1,Full,-,100Mbps,3 V ~ 5.5 V,-40°C ~ 85°C,Surface Mount,14-TSSOP (0.173"   4.40mm Width),14-TSSOP
Driver,LVDS,4/0,-,-,400Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Receiver,LVDS,0/4,-,-,400Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Transceiver,LVDS,9/9,Half,-,100Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,64-LQFP,64-TQFP (10x10)
Receiver,LVDS,0/1,-,-,500Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,SOT-23-8,SOT-23-8
Receiver,LVDS,0/4,-,-,400Mbps,3 V ~ 3.6 V,-40°C ~ 85°C,Surface Mount,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
Driver,-,3/0,-,-,-,3 V ~ 3.6 V,0°C ~ 70°C,Surface Mount,64-TQFP Exposed Pad,64-HTQFP (10x10)
